trait,description
BXD_17853,"Hematology: Mature red blood cells at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [%] (EPFL LISP3 Cohort)"
BXD_17854,"Hematology: Mature red blood cells at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [%] (EPFL LISP3 Cohort)"
BXD_17855,"Hematology: Mature red blood cells at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [10^9/L] (EPFL LISP3 Cohort)"
BXD_17856,"Hematology: Mature red blood cells at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [10^9/L] (EPFL LISP3 Cohort)"
BXD_17857,"Hematology: Hemoglobin at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [g/dL] (EPFL LISP3 Cohort)"
BXD_17858,"Hematology: Hemoglobin at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [g/dL] (EPFL LISP3 Cohort)"
BXD_17859,"Hematology: Hematocrit at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [%] (EPFL LISP3 Cohort)"
BXD_17860,"Hematology: Hematocrit at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [%] (EPFL LISP3 Cohort)"
BXD_17861,"Hematology: Mean corpuscular volume (MCV) at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [fL/RBC] (EPFL LISP3 Cohort)"
BXD_17862,"Hematology: Mean corpuscular volume (MCV) at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [fL/RBC] (EPFL LISP3 Cohort)"
BXD_17863,"Hematology: Mean corpuscular hemoglobin (MCH) at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [pg/RBC] (EPFL LISP3 Cohort)"
BXD_17864,"Hematology: Mean corpuscular hemoglobin (MCH) at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [pg/RBC] (EPFL LISP3 Cohort)"
BXD_17865,"Hematology: Mean corpuscular hemoglobin concentration (MCHC) at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [g/dL] (EPFL LISP3 Cohort)"
BXD_17866,"Hematology: Mean corpuscular hemoglobin concentration (MCHC) at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [g/dL] (EPFL LISP3 Cohort)"
BXD_17867,"Hematology: Red blood cell hemoglobin content at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [pg/RBC] (EPFL LISP3 Cohort)"
BXD_17868,"Hematology: Red blood cell hemoglobin content at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [pg/RBC] (EPFL LISP3 Cohort)"
BXD_17869,"Hematology: Red blood cell distribution width at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [%] (EPFL LISP3 Cohort)"
BXD_17870,"Hematology: Red blood cell distribution width at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [%] (EPFL LISP3 Cohort)"
BXD_17871,"Hematology: Hemoglobin concentration distribution width at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [g/dL] (EPFL LISP3 Cohort)"
BXD_17872,"Hematology: Hemoglobin concentration distribution width at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [g/dL] (EPFL LISP3 Cohort)"
BXD_17873,"Hematology: Reticulocytes at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [%] (EPFL LISP3 Cohort)"
BXD_17874,"Hematology: Reticulocytes at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [%] (EPFL LISP3 Cohort)"
BXD_17875,"Hematology: Reticulocytes at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [10^9/L] (EPFL LISP3 Cohort)"
BXD_17876,"Hematology: Reticulocytes at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [10^9/L] (EPFL LISP3 Cohort)"
BXD_17877,"Hematology: Mean corpuscular volume reticulocytes at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [fL/RTC] (EPFL LISP3 Cohort)"
BXD_17878,"Hematology: Mean corpuscular volume reticulocytes at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [fL/RTC] (EPFL LISP3 Cohort)"
BXD_17879,"Hematology: Mean corpuscular hemoglobin concentration reticulocytes at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [g/dL] (EPFL LISP3 Cohort)"
BXD_17880,"Hematology: Mean corpuscular hemoglobin concentration reticulocytes at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [g/dL] (EPFL LISP3 Cohort)"
BXD_17881,"Hematology: Red cell hemoglobin content reticulocytes at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [pg/RTC] (EPFL LISP3 Cohort)"
BXD_17882,"Hematology: Red cell hemoglobin content reticulocytes at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [pg/RTC] (EPFL LISP3 Cohort)"
BXD_17883,"Hematology: Mature reticulocytes at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [%] (EPFL LISP3 Cohort)"
BXD_17884,"Hematology: Mature reticulocytes at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [%] (EPFL LISP3 Cohort)"
BXD_17885,"Hematology: Mature reticulocytes at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [10^9/L] (EPFL LISP3 Cohort)"
BXD_17886,"Hematology: Mature reticulocytes at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [10^9/L] (EPFL LISP3 Cohort)"
BXD_17887,"Hematology: Medium maturity reticulocytes at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [%] (EPFL LISP3 Cohort)"
BXD_17888,"Hematology: Medium maturity reticulocytes at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [%] (EPFL LISP3 Cohort)"
BXD_17889,"Hematology: Medium maturity reticulocytes at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [10^9/L] (EPFL LISP3 Cohort)"
BXD_17890,"Hematology: Medium maturity reticulocytes at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [10^9/L] (EPFL LISP3 Cohort)"
BXD_17891,"Hematology: Immature reticulocytes at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [%] (EPFL LISP3 Cohort)"
BXD_17892,"Hematology: Immature reticulocytes at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [%] (EPFL LISP3 Cohort)"
BXD_17893,Hematology: Immature reticulocytes of males at 29 weeks of age on a standard chow diet (6% kCal/fat Harlan.2918) (EPFL LISP3 Cohort)[10^9/L] 
BXD_17894,"Hematology: Immature reticulocytes at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [10^9/L] (EPFL LISP3 Cohort)"
BXD_17895,"Hematology: Platelets at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [10^3/uL] (EPFL LISP3 Cohort)"
BXD_17896,"Hematology: Platelets at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [10^3/uL] (EPFL LISP3 Cohort)"
BXD_17897,"Hematology: Mean platelet volume at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [fL/PLT] (EPFL LISP3 Cohort)"
BXD_17898,"Hematology: Platelet volume at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [fL/PLT] (EPFL LISP3 Cohort)"
BXD_17899,"Hematology: Platelet distribution width at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [%] (EPFL LISP3 Cohort)"
BXD_17900,"Hematology: Platelet distribution width at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [%] (EPFL LISP3 Cohort)"
BXD_17901,"Hematology: Plateletcrit at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [%] (EPFL LISP3 Cohort)"
BXD_17902,"Hematology: Plateletcrit at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [%] (EPFL LISP3 Cohort)"
BXD_17903,"Hematology: Platelet component concentration at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [g/dL] (EPFL LISP3 Cohort)"
BXD_17904,"Hematology: Platelet component concentration at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [g/dL] (EPFL LISP3 Cohort)"
BXD_17905,"Hematology: Platelet component distribution width at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [g/dL] (EPFL LISP3 Cohort)"
BXD_17906,"Hematology: Platelet component distribution width at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [g/dL] (EPFL LISP3 Cohort)"
BXD_17907,"Hematology: Platelet mass at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [pg/PLT] (EPFL LISP3 Cohort)"
BXD_17908,"Hematology: Mean platelet mass at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [pg/PLT] (EPFL LISP3 Cohort)"
BXD_17909,"Hematology: White blood cells at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [10^3/uL] (EPFL LISP3 Cohort)"
BXD_17910,"Hematology: White blood cells at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [10^3/uL] (EPFL LISP3 Cohort)"
BXD_17911,"Hematology: Neutrophils at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [%] (EPFL LISP3 Cohort)"
BXD_17912,"Hematology: Neutrophils at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [%] (EPFL LISP3 Cohort)"
BXD_17913,"Hematology: Lymphocytes at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [%] (EPFL LISP3 Cohort)"
BXD_17914,"Hematology: Lymphocytes at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [%] (EPFL LISP3 Cohort)"
BXD_17915,"Hematology: Monocytes at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [%] (EPFL LISP3 Cohort)"
BXD_17916,"Hematology: Monocytes at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [%] (EPFL LISP3 Cohort)"
BXD_17917,"Hematology: Eosinophils at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [%] (EPFL LISP3 Cohort)"
BXD_17918,"Hematology: Eosinophils at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [%] (EPFL LISP3 Cohort)"
BXD_17919,"Hematology: Basophils at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [%] (EPFL LISP3 Cohort)"
BXD_17920,"Hematology: Basophils at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [%] (EPFL LISP3 Cohort)"
BXD_17921,"Hematology: Large unknown cells at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [%] (EPFL LISP3 Cohort)"
BXD_17922,"Hematology: Large unknown cells at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [%] (EPFL LISP3 Cohort)"
BXD_17923,"Hematology: Neutrophils at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [10^3/uL] (EPFL LISP3 Cohort)"
BXD_17924,"Hematology: Neutrophils at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [10^3/uL] (EPFL LISP3 Cohort)"
BXD_17925,"Hematology: Lymphocytes at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [10^3/uL] (EPFL LISP3 Cohort)"
BXD_17926,"Hematology: Lymphocytes at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [10^3/uL] (EPFL LISP3 Cohort)"
BXD_17927,"Hematology: Monocytes at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [10^3/uL] (EPFL LISP3 Cohort)"
BXD_17928,"Hematology: Monocytes at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [10^3/uL] (EPFL LISP3 Cohort)"
BXD_17929,"Hematology: Eosinophils at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [10^3/uL] (EPFL LISP3 Cohort)"
BXD_17930,"Hematology: Eosinophils at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [10^3/uL] (EPFL LISP3 Cohort)"
BXD_17931,"Hematology: Basophils at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [10^3/uL] (EPFL LISP3 Cohort)"
BXD_17932,"Hematology: Basophils at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [10^3/uL] (EPFL LISP3 Cohort)"
BXD_17933,"Hematology: Large unknown cells at 29 weeks of age, chow diet (6% kCal/fat Harlan.2918), males [10^3/uL] (EPFL LISP3 Cohort)"
BXD_17934,"Hematology: Large unknown cells at 29 weeks of age, high fat diet (60% kCal/fat HarlanTD.06414), males [10^3/uL] (EPFL LISP3 Cohort)"
BXD_17935,"Central nervous system, behavior, learning and memory: Synome Trait 1 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17936,"Central nervous system, behavior, learning and memory: Synome Trait 2 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17937,"Central nervous system, behavior, learning and memory: Synome Trait 3 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17938,"Central nervous system, behavior, learning and memory: Synome Trait 4 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17939,"Central nervous system, behavior, learning and memory: Synome Trait 5 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17940,"Central nervous system, behavior, learning and memory: Synome Trait 6 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17941,"Central nervous system, behavior, learning and memory: Synome Trait 7 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17942,"Central nervous system, behavior, learning and memory: Synome Trait 8 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17943,"Central nervous system, behavior, learning and memory: Synome Trait 9 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17944,"Central nervous system, behavior, learning and memory: Synome Trait 10 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17945,"Central nervous system, behavior, learning and memory: Synome Trait 11 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17946,"Central nervous system, behavior, learning and memory: Synome Trait 12 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17947,"Central nervous system, behavior, learning and memory: Synome Trait 13 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17948,"Central nervous system, behavior, learning and memory: Synome Trait 14 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17949,"Central nervous system, behavior, learning and memory: Synome Trait 15 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17950,"Central nervous system, behavior, learning and memory: Synome Trait 16 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17951,"Central nervous system, behavior, learning and memory: Synome Trait 17 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17952,"Central nervous system, behavior, learning and memory: Synome Trait 18 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17953,"Central nervous system, behavior, learning and memory: Synome Trait 19 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17954,"Central nervous system, behavior, learning and memory: Synome Trait 20 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17955,"Central nervous system, behavior, learning and memory: Synome Trait 21 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17956,"Central nervous system, behavior, learning and memory: Synome Trait 22 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17957,"Central nervous system, behavior, learning and memory: Synome Trait 23 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17958,"Central nervous system, behavior, learning and memory: Synome Trait 24 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17959,"Central nervous system, behavior, learning and memory: Synome Trait 25 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17960,"Central nervous system, behavior, learning and memory: Synome Trait 26 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17961,"Central nervous system, behavior, learning and memory: Synome Trait 27 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17962,"Central nervous system, behavior, learning and memory: Synome Trait 28 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17963,"Central nervous system, behavior, learning and memory: Synome Trait 29 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17964,"Central nervous system, behavior, learning and memory: Synome Trait 30 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17965,"Central nervous system, behavior, learning and memory: Synome Trait 31 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17966,"Central nervous system, behavior, learning and memory: Synome Trait 32 (contact Dr. Alexa Horner, alexa@synome.eu)"
BXD_17967,"Blood chemistry: Blood 5-hydroxytryptamine (5-HT, serotonin) level in adult males [pg/ul]"
BXD_17968,Blood chemistry: Blood 5-hydroxyindoleacetic acid (5-HIAA) level in adult males [pg/ul]
BXD_17969,Blood chemistry: Blood 5-hydroxytryptamine turnover rates (5-HIAA/5-HT) in adult males [units]
BXD_17970,"Blood chemistry: Blood 5-hydroxytryptamine (5-HT, serotonin) level in adult females [pg/ul]"
BXD_17971,Blood chemistry: Blood 5-hydroxyindoleacetic acid (5-HIAA) level in adult females [pg/ul]
BXD_17972,Blood chemistry: Blood 5-hydroxytryptamine turnover rates (5-HIAA/5-HT) in adult females [units]
BXD_17973,"Blood chemistry: Blood 5-hydroxytryptamine (5-HT, serotonin) level in adult males and females [pg/ul]"
BXD_17974,Blood chemistry: Blood 5-hydroxyindoleacetic acid (5-HIAA) level in adult males and females [pg/ul]
BXD_17975,Blood chemistry: Blood 5-hydroxytryptamine turnover rates (5-HIAA/5-HT) in adult males and females [units]
BXD_17976,"Central nervous system, neurochemistry: Diencephalon 5-hydroxytryptamine (5-HT, serotonin) level in adult males [ng/mg protein]"
BXD_17977,"Central nervous system, neurochemistry: Diencephalon 5-hydroxyindoleacetic acid (5-HIAA) level in adult males [ng/mg protein]"
BXD_17978,"Central nervous system, neurochemistry: Diencephalon 5-hydroxytryptamine turnover rates (5-HIAA/5-HT) in adult males [units]"
BXD_17979,"Central nervous system, neurochemistry: Diencephalon 5-hydroxytryptamine (5-HT, serotonin) level in adult females [ng/mg protein]"
BXD_17980,"Central nervous system, neurochemistry: Diencephalon 5-hydroxyindoleacetic acid (5-HIAA) level in adult females [ng/mg protein]"
BXD_17981,"Central nervous system, neurochemistry: Diencephalon 5-hydroxytryptamine turnover rates (5-HIAA/5-HT) in adult females [units]"
BXD_17982,"Central nervous system, neurochemistry: Diencephalon 5-hydroxytryptamine (5-HT, serotonin) level in adult males and females [ng/mg protein]"
BXD_17983,"Central nervous system, neurochemistry: Diencephalon 5-hydroxyindoleacetic acid (5-HIAA) level in adult males and females [ng/mg protein]"
BXD_17984,"Central nervous system, neurochemistry: Diencephalon 5-hydroxytryptamine turnover rates (5-HIAA/5-HT) in adult males and females [units]"
BXD_17985,"Central nervous system, neurochemistry: Midbrain 5-hydroxytryptamine (5-HT, serotonin) level in adult males [ng/mg protein]"
BXD_17986,"Central nervous system, neurochemistry: Midbrain 5-hydroxyindoleacetic acid (5-HIAA) level in adult males [ng/mg protein]"
BXD_17987,"Central nervous system, neurochemistry: Midbrain 5-hydroxytryptamine turnover rates (5-HIAA/5-HT) in adult males [units]"
BXD_17988,"Central nervous system, neurochemistry: Midbrain 5-hydroxytryptamine (5-HT, serotonin) level in adult females [ng/mg protein]"
BXD_17989,"Central nervous system, neurochemistry: Midbrain 5-hydroxyindoleacetic acid (5-HIAA) level in adult females [ng/mg protein]"
BXD_17990,"Central nervous system, neurochemistry: Midbrain 5-hydroxytryptamine turnover rates (5-HIAA/5-HT) in adult females [units]"
BXD_17991,"Central nervous system, neurochemistry: Midbrain 5-hydroxytryptamine (5-HT, serotonin) level in adult males and females [ng/mg protein]"
BXD_17992,"Central nervous system, neurochemistry: Midbrain 5-hydroxyindoleacetic acid (5-HIAA) level in adult males and females [ng/mg protein]"
BXD_17993,"Central nervous system, neurochemistry: Midbrain 5-hydroxytryptamine turnover rate (5-HIAA/5-HT) in adult males and females [units]"
BXD_17994,"Central nervous system, protein expression: Midbrain serotonin transporter (SERT) expression level quantified by Western blotting in adult males [intensity score]"
BXD_17995,"Central nervous system, protein expression: Midbrain serotonin transporter (SERT) expression level quantified by Western blotting in adult females [intensity score]"
BXD_17996,"Central nervous system, protein expression: Midbrain serotonin transporter (SERT) expression level quantified by Western blotting in adult males and females [intensity score]"
BXD_17997,"Central nervous system, protein expression: Diencephalon serotonin transporter (SERT) expression level quantified by Western blotting in adult males [intensity score]"
BXD_17998,"Central nervous system, protein expression: Diencephalon serotonin transporter (SERT) expression level quantified by Western blotting in adult females [intensity score]"
BXD_17999,"Central nervous system, protein expression: Diencephalon serotonin transporter (SERT) expression level quantified by Western blotting in adult males and females [intensity score]"
BXD_18000,"Central nervous system, neurochemistry: Midbrain cysteic acid level in adult females [ug/mg protein]"
BXD_18001,"Central nervous system, neurochemistry: Midbrain homocysteic acid level in adult females [ug/mg protein]"
BXD_18002,"Central nervous system, neurochemistry: Midbrain aspartic acid level in adult females [ug/mg protein]"
BXD_18003,"Central nervous system, neurochemistry: Midbrain serine level in adult females [ug/mg protein]"
BXD_18004,"Central nervous system, neurochemistry: Midbrain glutamic acid level in adult females [ug/mg protein]"
BXD_18005,"Central nervous system, neurochemistry: Midbrain glycine level in adult females [ug/mg protein]"
BXD_18006,"Central nervous system, neurochemistry: Midbrain histidine level in adult females [ug/mg protein]"
BXD_18007,"Central nervous system, neurochemistry: Midbrain taurine level in adult females [ug/mg protein]"
BXD_18008,"Central nervous system, neurochemistry: Midbrain arginine level in adult females [ug/mg protein]"
BXD_18009,"Central nervous system, neurochemistry: Midbrain threonine level in adult females [ug/mg protein]"
BXD_18010,"Central nervous system, neurochemistry: Midbrain alanine level in adult females [ug/mg protein]"
BXD_18011,"Central nervous system, neurochemistry: Midbrain proline level in adult females [ug/mg protein]"
BXD_18012,"Central nervous system, neurochemistry: Midbrain GABA level in adult females [ug/mg protein]"
BXD_18013,"Central nervous system, neurochemistry: Midbrain cystine level in adult females [ug/mg protein]"
BXD_18014,"Central nervous system, neurochemistry: Midbrain tyrosine level in adult females [ug/mg protein]"
BXD_18015,"Central nervous system, neurochemistry: Midbrain valine level in adult females [ug/mg protein]"
BXD_18016,"Central nervous system, neurochemistry: Midbrain methionine level in adult females [ug/mg protein]"
BXD_18017,"Central nervous system, neurochemistry: Midbrain lysine level in adult females [ug/mg protein]"
BXD_18018,"Central nervous system, neurochemistry: Midbrain isoleucine level in adult females [ug/mg protein]"
BXD_18019,"Central nervous system, neurochemistry: Midbrain leucine level in adult females [ug/mg protein]"
BXD_18020,"Central nervous system, neurochemistry: Midbrain phenylalanine level in adult females [ug/mg protein]"
BXD_18021,"Central nervous system, neurochemistry: Midbrain Glu/GABA ratios in adult females [ratio]"
BXD_18022,"Central nervous system, neurochemistry: Midbrain cysteic acid level in adult males [pmol/ug protein]"
BXD_18023,"Central nervous system, neurochemistry: Midbrain homocysteic acid level in adult males [pmol/ug protein]"
BXD_18024,"Central nervous system, neurochemistry: Midbrain aspartic acid level in adult males [pmol/ug protein]"
BXD_18025,"Central nervous system, neurochemistry: Midbrain serine level in adult males [pmol/ug protein]"
BXD_18026,"Central nervous system, neurochemistry: Midbrain glutamic acid level in adult males [pmol/ug protein]"
BXD_18027,"Central nervous system, neurochemistry: Midbrain glycine level in adult males [pmol/ug protein]"
BXD_18028,"Central nervous system, neurochemistry: Midbrain histidine level in adult males [pmol/ug protein]"
BXD_18029,"Central nervous system, neurochemistry: Midbrain taurine level in adult males [pmol/ug protein]"
BXD_18030,"Central nervous system, neurochemistry: Midbrain arginine level in adult males [pmol/ug protein]"
BXD_18031,"Central nervous system, neurochemistry: Midbrain threonine level in adult males [pmol/ug protein]"
BXD_18032,"Central nervous system, neurochemistry: Midbrain alanine level in adult males [pmol/ug protein]"
BXD_18033,"Central nervous system, neurochemistry: Midbrain proline level in adult males [ug/mg protein]"
BXD_18034,"Central nervous system, neurochemistry: Midbrain GABA level in adult males [ug/mg protein]"
BXD_18035,"Central nervous system, neurochemistry: Midbrain cystine level in adult males [ug/mg protein]"
BXD_18036,"Central nervous system, neurochemistry: Midbrain tyrosine level in adult males [ug/mg protein]"
BXD_18037,"Central nervous system, neurochemistry: Midbrain valine level in adult males [ug/mg protein]"
BXD_18038,"Central nervous system, neurochemistry: Midbrain methionine level in adult males [ug/mg protein]"
BXD_18039,"Central nervous system, neurochemistry: Midbrain lysine level in adult males [ug/mg protein]"
BXD_18040,"Central nervous system, neurochemistry: Midbrain isoleucine level in adult males [ug/mg protein]"
BXD_18041,"Central nervous system, neurochemistry: Midbrain leucine level in adult males [ug/mg protein]"
BXD_18042,"Central nervous system, neurochemistry: Midbrain phenylalanine level in adult males [ug/mg protein]"
BXD_18043,"Central nervous system, neurochemistry: Midbrain Glu/GABA ratios in adult males [ratio]"
BXD_18044,"Central nervous system, neurochemistry: Midbrain 4,5-trihydroxyphenethylamine (Norepinephrine, noradrenaline) level in adult males [ng/mg protein]"
BXD_18045,"Central nervous system, neurochemistry: Midbrain 3,4-dihydroxyphenylacetic acid (DOPAC) level in adult males [ng/mg protein]"
BXD_18046,"Central nervous system, neurochemistry: Midbrain 3,4-dihydroxyphenethylamine (dopamine) level in adult males [ng/mg protein]"
BXD_18047,"Central nervous system, neurochemistry: Midbrain 3-methoxy-4-hydroxyphenyl acetic acid (Homovanillic acid, HVA) level in adult males [ng/mg protein]"
BXD_18048,"Central nervous system, neurochemistry: Midbrain 3-methoxy-4-hydroxyphenethylamine (3-MT) level in adult males [ng/mg protein]"
BXD_18049,"Central nervous system, protein expression: Midbrain dopamine transporter (DAT) expression level quantified by Western blotting in adult males [intensity score]"
BXD_18050,"Central nervous system, protein expression: Midbrain choline transporter (CHT) expression level quantified by Western blotting in adult males [intensity score]"
BXD_18051,"Central nervous systems, behavior: Effects of chronic variable stress (unstressed control) freezing during training (Med Associates chamber,  2 sec 0.75 mA shock, 85 dB 3KHz tone, 4 tone-shock pairings) in singly-housed 3-4 month-old males (Figure 2A left)[%]"
BXD_18052,"Central nervous systems, behavior: Effects of chronic variable stress (CVS for four weeks) freezing during training (Med Associates chamber, 2 sec 0.75 mA shock,  85 dB 3KHz tone, 4 tone-shock pairings) in singly-housed 3-4 month-old males (Figure 2A middle)[%]"
BXD_18053,"Central nervous systems, behavior: Effects of chronic variable stress, difference between stress and control groups freezing during training (Med Associates chamber, 2 sec 0.75 mA shock,  85 dB 3KHz tone, 4 tone-shock pairings) in singly-housed 3-4 month-old males (Figure 2A right)[%]"
BXD_18054,"Central nervous systems, behavior: Effects of chronic variable stress (unstressed control) locomoter distance in an elevated plus maze (measured for 5 minutes) in singly-housed 3-4 month-old males (Figure 3A left)[m]"
BXD_18055,"Central nervous systems, behavior: Effects of chronic variable stress (CVS for four weeks) locomoter distance in an elevated plus maze (measured for 5 minutes) in singly-housed 3-4 month-old males (Figure 3A middle)[m]"
BXD_18056,"Central nervous systems, behavior: Effects of chronic variable stress, difference between stress and control groups locomoter distance in an elevated plus maze (measured for 5 minutes) in singly-housed 3-4 month-old males (Figure 3A right)[m]"
BXD_18057,"Central nervous systems, behavior: Effects of chronic variable stress (unstressed control) freezing to tone after fear conditioning, nine exposures to a 85 dB 3KHz tones in singly-housed 3-4 month-old males (Figure 2C left)[sec]"
BXD_18058,"Central nervous systems, behavior: Effects of chronic variable stress (CVS for four weeks) freezing to tone after fear conditioning, nine exposures to a 85 dB 3KHz tones in singly-housed 3-4 month-old males (Figure 2C middle)[sec]"
